numvar,numqubit,minenergy,maxchainlength,chainstrength,qpusamplingtime,qpuaccesstime,qpuprogrammingtime,preparetime,classicaltime
9, 14, -20.000000, 2, 587.171623, 10752.0, 26515.16, 15763.16, 527.100000, 0.000000
16, 40, -20.000000, 3, 509.352163, 14848.0, 30610.76, 15762.76, 349.500000, 0.000000
25, 88, 20.000000, 5, 738.653678, 20324.0, 36086.76, 15762.76, 662.300000, 0.000000
36, 181, 60.000000, 7, 1016.306591, 13806.0, 29568.76, 15762.76, 1215.900000, 0.000000
49, 313, 958.000000, 8, 1651.114737, 17312.0, 33074.36, 15762.36, 2522.900000, 0.000000
64, 530, 1066.000000, 12, 1615.331856, 18842.0, 34609.16, 15767.16, 3452.700000, 0.000000
81, 830, 2366.000000, 14, 1963.509272, 21194.0, 36958.76, 15764.76, 4948.100000, 0.000000
100, 1188, 3244.000000, 16, 2011.323304, 25346.0, 41106.76, 15760.76, 6831.201000, 0.000000
9, 14, -20.000000, 2, 492.786608, 11376.0, 27136.76, 15760.76, 356.000000, 0.000000
16, 38, -38.000000, 3, 717.635996, 11060.0, 26819.96, 15759.96, 304.100000, 0.000000
25, 90, -24.000000, 5, 797.514452, 13036.0, 28795.96, 15759.96, 564.000000, 0.000000
36, 174, 60.000000, 7, 1096.945480, 9716.0, 25474.36, 15758.36, 978.800000, 0.000000
49, 305, 708.000000, 8, 1604.983344, 17422.0, 33181.56, 15759.56, 1977.100000, 0.000000
64, 567, 1776.000000, 13, 1810.314883, 21486.0, 37244.76, 15758.76, 3521.301000, 0.000000
81, 764, 2618.000000, 13, 2079.677303, 23104.0, 38862.76, 15758.76, 6332.600000, 0.000000
100, 1106, 4000.000000, 17, 2001.528103, 22544.0, 38301.56, 15757.56, 7223.600001, 0.000000
9, 14, -30.000000, 2, 495.254495, 11920.0, 27679.56, 15759.56, 386.000000, 0.000000
16, 38, -20.000000, 3, 1037.687193, 16792.0, 32553.16, 15761.16, 343.400000, 0.000000
25, 86, -16.000000, 4, 749.017569, 12294.0, 28053.56, 15759.56, 913.500000, 0.000000
36, 174, 178.000000, 7, 846.515716, 12532.0, 28290.76, 15758.76, 1099.999999, 0.000000
49, 309, 624.000000, 9, 1435.638884, 13770.0, 29532.36, 15762.36, 3716.600000, 0.000000
64, 519, 538.000000, 11, 1461.325560, 19746.0, 35505.96, 15759.96, 2944.900000, 0.000000
81, 879, 1756.000000, 17, 1908.459029, 24496.0, 40259.96, 15763.96, 5354.899999, 0.000000
100, 1170, 4726.000000, 17, 2004.322730, 22470.0, 38231.96, 15761.96, 6672.699999, 0.000000
9, 15, -20.000000, 3, 628.893622, 11422.0, 27181.56, 15759.56, 386.300000, 0.000000
16, 39, -34.000000, 3, 605.806184, 10436.0, 26195.56, 15759.56, 302.200000, 0.000000
25, 88, 12.000000, 5, 1004.722135, 12808.0, 28567.16, 15759.16, 1259.800001, 0.000000
36, 179, 244.000000, 7, 1398.147235, 8898.0, 24656.36, 15758.36, 1516.600001, 0.000000
49, 296, 466.000000, 8, 1256.651725, 19914.0, 35671.96, 15757.96, 1756.000000, 0.000000
64, 548, 1132.000000, 12, 1651.658531, 22702.0, 38464.76, 15762.76, 4161.400000, 0.000000
81, 865, 3688.000000, 15, 2033.576210, 20224.0, 35984.36, 15760.36, 4663.399999, 0.000000
100, 1358, 3654.000000, 20, 1985.324886, 26476.0, 42233.56, 15757.56, 5853.299999, 0.000000
9, 14, -32.000000, 2, 323.308557, 10502.0, 26261.96, 15759.96, 341.000001, 0.000000
16, 39, -20.000000, 3, 598.262381, 12684.0, 28442.76, 15758.76, 301.099999, 0.000000
25, 90, 0.000000, 5, 781.853984, 15508.0, 31268.36, 15760.36, 556.499999, 0.000000
36, 173, 146.000000, 7, 1175.804273, 13320.0, 29078.76, 15758.76, 995.800001, 0.000000
49, 349, 462.000000, 10, 1192.222550, 13428.0, 29192.76, 15764.76, 2445.999999, 0.000000
64, 557, 1024.000000, 12, 1529.153644, 16602.0, 32359.96, 15757.96, 2805.700000, 0.000000
81, 801, 2212.000000, 13, 2027.796051, 17524.0, 33285.16, 15761.16, 5823.599999, 0.000000
100, 1064, 4538.000000, 16, 2215.006516, 19290.0, 35055.56, 15765.56, 6529.300001, 0.000000

