TESTING ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 20, -5866.000000, 3, 2088.315201, 14992.0, 30755.16, 15763.16, 575.100000, 0.000000
16, 46, -21411.000000, 3, 4081.752000, 11268.0, 27031.56, 15763.56, 690.800000, 0.000000
25, 100, -55539.000000, 5, 3955.805731, 13054.0, 28816.76, 15762.76, 1217.201000, 0.000000
36, 205, -115541.000000, 8, 7766.861073, 13220.0, 28983.16, 15763.16, 2537.401000, 0.000000
49, 340, -218510.000000, 10, 6496.493888, 13522.0, 29283.56, 15761.56, 5231.800000, 0.000000
64, 557, -361300.000000, 12, 7087.819409, 19488.0, 35246.76, 15758.76, 9388.200000, 0.000000
81, 939, -580858.000000, 18, 10061.364994, 20286.0, 36048.76, 15762.76, 11376.400000, 0.000000
100, 1455, -908447.000000, 21, 10353.841005, 26734.0, 42495.16, 15761.16, 19515.200000, 0.000000
TESTING ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 22, -6338.000000, 3, 2805.248035, 10336.0, 26097.96, 15761.96, 372.500000, 0.000000
16, 47, -22339.000000, 3, 4709.773564, 11772.0, 27534.76, 15762.76, 717.000000, 0.000000
25, 101, -52524.000000, 5, 4634.656433, 12258.0, 28021.56, 15763.56, 1113.600000, 0.000000
36, 200, -117943.000000, 7, 5073.489516, 13874.0, 29634.76, 15760.76, 2172.700000, 0.000000
49, 329, -212206.000000, 8, 7174.551364, 14512.0, 30275.56, 15763.56, 5076.999000, 0.000000
64, 583, -364331.000000, 14, 8290.004003, 21702.0, 37467.96, 15765.96, 10939.802000, 0.000000
81, 849, -596175.000000, 14, 8590.005859, 22166.0, 37929.56, 15763.56, 10284.901000, 0.000000
100, 1183, -896348.000000, 15, 11099.670923, 21506.0, 37267.96, 15761.96, 19513.400000, 0.000000
TESTING ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 19, -6333.000000, 3, 3973.373714, 17918.0, 33680.76, 15762.76, 973.100000, 0.000000
16, 53, -20554.000000, 4, 3726.377639, 18022.0, 33782.36, 15760.36, 1148.300000, 0.000000
25, 101, -52248.000000, 5, 7134.792657, 15966.0, 31727.96, 15761.96, 3054.600000, 0.000000
36, 191, -117942.000000, 7, 6497.743910, 18146.0, 33905.56, 15759.56, 3277.500000, 0.000000
49, 327, -212439.000000, 8, 6761.418608, 14218.0, 29977.56, 15759.56, 11258.400000, 0.000000
64, 599, -364639.000000, 13, 7767.495185, 19322.0, 35083.16, 15761.16, 21545.700000, 0.000000
81, 916, -581909.000000, 17, 8048.862909, 20014.0, 35775.56, 15761.56, 16998.100000, 0.000000
100, 1412, -895616.000000, 20, 10946.066152, 20834.0, 36592.76, 15758.76, 21033.500000, 0.000000
TESTING ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 19, -7379.000000, 3, 2955.596782, 7666.0, 23425.96, 15759.96, 655.900000, 0.000000
16, 50, -21485.000000, 3, 3615.730316, 19264.0, 35024.76, 15760.76, 665.799000, 0.000000
25, 102, -55464.000000, 5, 5048.401879, 16806.0, 32566.76, 15760.76, 1494.900000, 0.000000
36, 195, -111367.000000, 7, 6261.417200, 20536.0, 36295.16, 15759.16, 3344.400000, 0.000000
49, 326, -212773.000000, 8, 6081.577001, 13864.0, 29622.76, 15758.76, 6142.100000, 0.000000
64, 483, -368557.000000, 11, 8091.350704, 13756.0, 29514.36, 15758.36, 12289.901000, 0.000000
81, 935, -592048.000000, 17, 7304.333692, 20130.0, 35891.56, 15761.56, 18534.001000, 0.000000
100, 1283, -902017.000000, 18, 10482.387297, 21858.0, 37618.76, 15760.76, 32223.801000, 0.000000
TESTING ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 19, -6861.000000, 3, 3161.330012, 12392.0, 28151.96, 15759.96, 600.200000, 0.000000
16, 48, -21420.000000, 3, 3770.715891, 11554.0, 27314.36, 15760.36, 560.800000, 0.000000
25, 102, -52405.000000, 5, 5199.503407, 10630.0, 26388.76, 15758.76, 1516.902000, 0.000000
36, 192, -115566.000000, 7, 7711.830108, 21378.0, 37137.16, 15759.16, 1959.099000, 0.000000
49, 348, -209637.000000, 9, 6996.176606, 13356.0, 29115.16, 15759.16, 4817.001000, 0.000000
64, 534, -360453.000000, 10, 8883.437120, 21612.0, 37374.76, 15762.76, 10751.800000, 0.000000
81, 843, -585869.000000, 16, 9862.445514, 22616.0, 38378.36, 15762.36, 11245.397000, 0.000000
100, 1329, -895435.000000, 18, 11818.804869, 25098.0, 40853.56, 15755.56, 19866.101001, 0.000000
