numvar,numqubit,minenergy,maxchainlength,chainstrength,qpusamplingtime,qpuaccesstime,qpuprogrammingtime,preparetime,classicaltime
9, 9, -10.000000, 1, 4.806676, 8508.0, 24267.96, 15759.96, 22.100000, 0.000000
16, 31, -43.000000, 3, 7.872819, 12100.0, 27860.36, 15760.36, 41.500000, 0.000000
25, 65, -94.000000, 4, 9.598550, 11162.0, 26921.16, 15759.16, 112.900000, 0.000000
36, 149, -195.000000, 6, 12.035162, 20958.0, 36719.16, 15761.16, 264.700000, 0.000000
49, 298, -339.000000, 10, 13.604666, 11014.0, 26773.56, 15759.56, 435.400000, 0.000000
64, 490, -570.000000, 11, 15.950647, 17684.0, 33442.76, 15758.76, 882.000000, 0.000000
81, 817, -918.000000, 15, 18.170632, 20364.0, 36123.96, 15759.96, 1176.800000, 0.000000
100, 1280, -1330.000000, 19, 19.816190, 23542.0, 39300.36, 15758.36, 1668.500000, 0.000000
9, 10, -15.000000, 2, 5.810988, 9968.0, 25728.36, 15760.36, 17.500000, 0.000000
16, 27, -38.000000, 3, 7.347360, 9152.0, 24912.36, 15760.36, 49.600000, 0.000000
25, 67, -92.000000, 4, 9.531661, 10608.0, 26368.76, 15760.76, 81.499999, 0.000000
36, 157, -185.000000, 6, 11.602844, 13836.0, 29595.96, 15759.96, 177.299999, 0.000000
49, 278, -337.000000, 8, 13.795284, 19510.0, 35270.76, 15760.76, 342.000000, 0.000000
64, 519, -576.000000, 12, 15.942811, 21796.0, 37559.56, 15763.56, 838.399999, 0.000000
81, 815, -878.000000, 18, 17.713886, 22138.0, 37899.16, 15761.16, 1464.000000, 0.000000
100, 1347, -1352.000000, 19, 19.960953, 25902.0, 41664.76, 15762.76, 1417.600000, 0.000000
9, 9, -11.000000, 1, 4.618105, 10066.0, 25827.16, 15761.16, 18.100000, 0.000000
16, 31, -38.000000, 3, 7.482185, 11574.0, 27336.76, 15762.76, 121.900000, 0.000000
25, 69, -92.000000, 4, 9.464298, 14736.0, 30497.56, 15761.56, 303.000000, 0.000000
36, 140, -196.000000, 5, 11.886574, 12170.0, 27930.76, 15760.76, 210.400000, 0.000000
49, 281, -327.000000, 8, 13.759744, 13094.0, 28854.36, 15760.36, 542.000000, 0.000000
64, 486, -561.000000, 11, 15.848474, 22360.0, 38125.16, 15765.16, 638.600000, 0.000000
81, 866, -917.000000, 15, 18.278985, 23976.0, 39741.16, 15765.16, 1003.300000, 0.000000
100, 1246, -1329.000000, 19, 19.791960, 21410.0, 37173.56, 15763.56, 1431.400000, 0.000000
9, 11, -14.000000, 2, 5.810988, 10326.0, 26087.16, 15761.16, 17.200000, 0.000000
16, 26, -40.000000, 2, 7.548694, 10090.0, 25851.16, 15761.16, 70.000000, 0.000000
25, 69, -103.000000, 4, 10.022458, 9786.0, 25548.36, 15762.36, 94.200000, 0.000000
36, 155, -196.000000, 6, 12.035162, 9876.0, 25636.76, 15760.76, 314.700000, 0.000000
49, 303, -341.000000, 9, 13.807110, 19358.0, 35121.56, 15763.56, 353.600000, 0.000000
64, 506, -581.000000, 11, 16.106571, 19126.0, 34889.56, 15763.56, 875.800000, 0.000000
81, 864, -882.000000, 16, 17.885842, 19742.0, 35499.96, 15757.96, 1332.200000, 0.000000
100, 1355, -1337.000000, 20, 19.992980, 21606.0, 37365.16, 15759.16, 1540.201000, 0.000000
9, 10, -12.000000, 2, 5.332528, 10112.0, 25873.16, 15761.16, 13.400000, 0.000000
16, 28, -46.000000, 3, 7.936055, 8912.0, 24673.16, 15761.16, 43.400000, 0.000000
25, 72, -96.000000, 4, 9.763770, 12126.0, 27887.56, 15761.56, 85.600000, 0.000000
36, 166, -191.000000, 7, 12.016689, 16804.0, 32564.36, 15760.36, 250.200000, 0.000000
49, 297, -337.000000, 9, 13.604666, 13482.0, 29245.96, 15763.96, 387.100000, 0.000000
64, 504, -559.000000, 11, 15.793184, 18920.0, 34679.96, 15759.96, 596.500000, 0.000000
81, 829, -901.000000, 15, 18.001396, 15698.0, 31457.16, 15759.16, 2498.000000, 0.000000
100, 1261, -1341.000000, 18, 19.948929, 20782.0, 36539.96, 15757.96, 1983.200000, 0.000000
