TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 16, 0.000000, 2, 506.519985, 126.24, 15906.2, 15779.96, 510.600000, 0.000000
16, 40, 60.000000, 3, 716.620445, 114.44, 15894.0, 15779.56, 339.900001, 0.000000
25, 85, 28.000000, 4, 658.830536, 116.46, 15896.82, 15780.36, 750.700000, 0.000000
36, 179, 446.000000, 7, 1307.972335, 153.32, 15933.68, 15780.36, 1379.000000, 0.000000
49, 315, 2306.000000, 9, 1364.889351, 136.04, 15917.2, 15781.16, 1943.500000, 0.000000
64, 489, 10440.000000, 12, 1939.509377, 218.9, 16000.06, 15781.16, 2379.000000, 0.000000
81, 842, 7138.000000, 14, 1983.064436, 201.72, 15983.68, 15781.96, 5850.000000, 0.000000
100, 1146, 28342.000000, 15, 1842.178649, 251.24, 16039.2, 15787.96, 9152.900000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 16, -20.000000, 2, 465.413923, 124.56, 15906.52, 15781.96, 421.600000, 0.000000
16, 42, 0.000000, 3, 525.949080, 149.54, 15931.1, 15781.56, 291.500000, 0.000000
25, 92, 218.000000, 4, 1177.638421, 133.36, 15916.52, 15783.16, 698.700001, 0.000000
36, 170, 12.000000, 6, 1082.799884, 111.14, 15894.3, 15783.16, 1076.600000, 0.000000
49, 314, 1734.000000, 8, 1336.171842, 135.24, 15919.6, 15784.36, 1526.800001, 0.000000
64, 584, 474.000000, 14, 1627.625866, 153.5, 15935.86, 15782.36, 3452.800000, 0.000000
81, 908, 7300.000000, 16, 1598.088132, 208.6, 15988.96, 15780.36, 4602.900000, 0.000000
100, 1147, 24154.000000, 15, 1991.091152, 230.0, 16015.96, 15785.96, 6478.900000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -20.000000, 2, 506.621727, 120.96, 15903.32, 15782.36, 371.100000, 0.000000
16, 38, 64.000000, 3, 830.310625, 121.16, 15903.92, 15782.76, 325.100000, 0.000000
25, 89, 256.000000, 5, 931.097860, 92.74, 15874.7, 15781.96, 692.900000, 0.000000
36, 169, 144.000000, 6, 1259.461935, 122.7, 15906.26, 15783.56, 1109.401000, 0.000000
49, 329, 804.000000, 9, 1600.133179, 163.76, 15946.52, 15782.76, 2243.000000, 0.000000
64, 475, 4336.000000, 12, 1966.879909, 198.22, 15978.98, 15780.76, 2413.700000, 0.000000
81, 821, 3984.000000, 16, 2003.372071, 201.08, 15994.24, 15793.16, 5243.504000, 0.000000
100, 1306, 14722.000000, 18, 2182.357980, 224.66, 16009.02, 15784.36, 6644.902000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 16, 8.000000, 2, 494.586576, 118.08, 15900.84, 15782.76, 397.500000, 0.000000
16, 39, 0.000000, 3, 615.052617, 114.68, 15897.84, 15783.16, 464.800000, 0.000000
25, 90, 162.000000, 5, 1023.163365, 190.6, 15972.56, 15781.96, 686.300000, 0.000000
36, 180, 280.000000, 7, 1301.507951, 131.9, 15915.46, 15783.56, 1345.100000, 0.000000
49, 309, 3362.000000, 9, 1433.539792, 115.72, 15898.08, 15782.36, 1735.000000, 0.000000
64, 583, 2940.000000, 14, 1493.887989, 216.16, 15997.72, 15781.56, 3198.300000, 0.000000
81, 886, 4548.000000, 17, 1953.438357, 161.44, 15941.8, 15780.36, 8493.300000, 0.000000
100, 1168, 26026.000000, 20, 2360.485065, 236.1, 16024.46, 15788.36, 10706.400000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -20.000000, 2, 463.705772, 82.2, 15863.36, 15781.16, 1560.800000, 0.000000
16, 38, 48.000000, 3, 466.986211, 150.16, 15930.52, 15780.36, 523.800000, 0.000000
25, 85, 92.000000, 4, 713.996468, 112.6, 15894.56, 15781.96, 771.700000, 0.000000
36, 181, 722.000000, 7, 1278.351932, 170.56, 15950.52, 15779.96, 1606.199000, 0.000000
49, 316, 224.000000, 9, 1312.159660, 137.9, 15921.06, 15783.16, 2320.000000, 0.000000
64, 549, 2304.000000, 12, 1722.376649, 190.46, 15976.42, 15785.96, 3050.100000, 0.000000
81, 871, 5970.000000, 16, 2104.017359, 184.58, 15967.74, 15783.16, 3967.400000, 0.000000
100, 1193, 23184.000000, 16, 2152.594391, 226.0, 16005.96, 15779.96, 6561.100000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -20.000000, 2, 587.171623, 10752.0, 26515.16, 15763.16, 527.100000, 0.000000
16, 40, -20.000000, 3, 509.352163, 14848.0, 30610.76, 15762.76, 349.500000, 0.000000
25, 88, 20.000000, 5, 738.653678, 20324.0, 36086.76, 15762.76, 662.300000, 0.000000
36, 181, 60.000000, 7, 1016.306591, 13806.0, 29568.76, 15762.76, 1215.900000, 0.000000
49, 313, 958.000000, 8, 1651.114737, 17312.0, 33074.36, 15762.36, 2522.900000, 0.000000
64, 530, 1066.000000, 12, 1615.331856, 18842.0, 34609.16, 15767.16, 3452.700000, 0.000000
81, 830, 2366.000000, 14, 1963.509272, 21194.0, 36958.76, 15764.76, 4948.100000, 0.000000
100, 1188, 3244.000000, 16, 2011.323304, 25346.0, 41106.76, 15760.76, 6831.201000, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -20.000000, 2, 492.786608, 11376.0, 27136.76, 15760.76, 356.000000, 0.000000
16, 38, -38.000000, 3, 717.635996, 11060.0, 26819.96, 15759.96, 304.100000, 0.000000
25, 90, -24.000000, 5, 797.514452, 13036.0, 28795.96, 15759.96, 564.000000, 0.000000
36, 174, 60.000000, 7, 1096.945480, 9716.0, 25474.36, 15758.36, 978.800000, 0.000000
49, 305, 708.000000, 8, 1604.983344, 17422.0, 33181.56, 15759.56, 1977.100000, 0.000000
64, 567, 1776.000000, 13, 1810.314883, 21486.0, 37244.76, 15758.76, 3521.301000, 0.000000
81, 764, 2618.000000, 13, 2079.677303, 23104.0, 38862.76, 15758.76, 6332.600000, 0.000000
100, 1106, 4000.000000, 17, 2001.528103, 22544.0, 38301.56, 15757.56, 7223.600001, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -30.000000, 2, 495.254495, 11920.0, 27679.56, 15759.56, 386.000000, 0.000000
16, 38, -20.000000, 3, 1037.687193, 16792.0, 32553.16, 15761.16, 343.400000, 0.000000
25, 86, -16.000000, 4, 749.017569, 12294.0, 28053.56, 15759.56, 913.500000, 0.000000
36, 174, 178.000000, 7, 846.515716, 12532.0, 28290.76, 15758.76, 1099.999999, 0.000000
49, 309, 624.000000, 9, 1435.638884, 13770.0, 29532.36, 15762.36, 3716.600000, 0.000000
64, 519, 538.000000, 11, 1461.325560, 19746.0, 35505.96, 15759.96, 2944.900000, 0.000000
81, 879, 1756.000000, 17, 1908.459029, 24496.0, 40259.96, 15763.96, 5354.899999, 0.000000
100, 1170, 4726.000000, 17, 2004.322730, 22470.0, 38231.96, 15761.96, 6672.699999, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 15, -20.000000, 3, 628.893622, 11422.0, 27181.56, 15759.56, 386.300000, 0.000000
16, 39, -34.000000, 3, 605.806184, 10436.0, 26195.56, 15759.56, 302.200000, 0.000000
25, 88, 12.000000, 5, 1004.722135, 12808.0, 28567.16, 15759.16, 1259.800001, 0.000000
36, 179, 244.000000, 7, 1398.147235, 8898.0, 24656.36, 15758.36, 1516.600001, 0.000000
49, 296, 466.000000, 8, 1256.651725, 19914.0, 35671.96, 15757.96, 1756.000000, 0.000000
64, 548, 1132.000000, 12, 1651.658531, 22702.0, 38464.76, 15762.76, 4161.400000, 0.000000
81, 865, 3688.000000, 15, 2033.576210, 20224.0, 35984.36, 15760.36, 4663.399999, 0.000000
100, 1358, 3654.000000, 20, 1985.324886, 26476.0, 42233.56, 15757.56, 5853.299999, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -32.000000, 2, 323.308557, 10502.0, 26261.96, 15759.96, 341.000001, 0.000000
16, 39, -20.000000, 3, 598.262381, 12684.0, 28442.76, 15758.76, 301.099999, 0.000000
25, 90, 0.000000, 5, 781.853984, 15508.0, 31268.36, 15760.36, 556.499999, 0.000000
36, 173, 146.000000, 7, 1175.804273, 13320.0, 29078.76, 15758.76, 995.800001, 0.000000
49, 349, 462.000000, 10, 1192.222550, 13428.0, 29192.76, 15764.76, 2445.999999, 0.000000
64, 557, 1024.000000, 12, 1529.153644, 16602.0, 32359.96, 15757.96, 2805.700000, 0.000000
81, 801, 2212.000000, 13, 2027.796051, 17524.0, 33285.16, 15761.16, 5823.599999, 0.000000
100, 1064, 4538.000000, 16, 2215.006516, 19290.0, 35055.56, 15765.56, 6529.300001, 0.000000
TESTING ADVANTAGE1
numvar, numqubits, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 14, -34.000000, 2, 552.931658, 12324.0, 28087.56, 15763.56, 3013.900000, 0.000000
16, 38, -38.000000, 3, 760.936976, 11036.0, 26799.16, 15763.16, 1628.698000, 0.000000
25, 87, -30.000000, 5, 875.317853, 10774.0, 26536.76, 15762.76, 2055.299000, 0.000000
36, 166, 178.000000, 6, 813.722294, 13564.0, 29328.36, 15764.36, 3548.793000, 0.000000
49, 300, 280.000000, 8, 1800.745788, 17562.0, 33325.56, 15763.56, 5494.799000, 0.000000
64, 496, 1412.000000, 10, 1585.438948, 18784.0, 34546.76, 15762.76, 2515.607000, 0.000000
81, 853, 3040.000000, 14, 1968.312279, 19226.0, 34988.76, 15762.76, 4899.500000, 0.000000
100, 1416, 2244.000000, 21, 2025.494071, 21560.0, 37328.36, 15768.36, 8985.901000, 0.000000
