TEST ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 9, -10.000000, 1, 4.806676, 8508.0, 24267.96, 15759.96, 22.100000, 0.000000
16, 31, -43.000000, 3, 7.872819, 12100.0, 27860.36, 15760.36, 41.500000, 0.000000
25, 65, -94.000000, 4, 9.598550, 11162.0, 26921.16, 15759.16, 112.900000, 0.000000
36, 149, -195.000000, 6, 12.035162, 20958.0, 36719.16, 15761.16, 264.700000, 0.000000
49, 298, -339.000000, 10, 13.604666, 11014.0, 26773.56, 15759.56, 435.400000, 0.000000
64, 490, -570.000000, 11, 15.950647, 17684.0, 33442.76, 15758.76, 882.000000, 0.000000
81, 817, -918.000000, 15, 18.170632, 20364.0, 36123.96, 15759.96, 1176.800000, 0.000000
100, 1280, -1330.000000, 19, 19.816190, 23542.0, 39300.36, 15758.36, 1668.500000, 0.000000
TEST ADVANTAGE1
numvar, numqubit, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 10, -15.000000, 2, 5.810988, 9968.0, 25728.36, 15760.36, 17.500000, 0.000000
16, 27, -38.000000, 3, 7.347360, 9152.0, 24912.36, 15760.36, 49.600000, 0.000000
25, 67, -92.000000, 4, 9.531661, 10608.0, 26368.76, 15760.76, 81.499999, 0.000000
36, 157, -185.000000, 6, 11.602844, 13836.0, 29595.96, 15759.96, 177.299999, 0.000000
49, 278, -337.000000, 8, 13.795284, 19510.0, 35270.76, 15760.76, 342.000000, 0.000000
64, 519, -576.000000, 12, 15.942811, 21796.0, 37559.56, 15763.56, 838.399999, 0.000000
81, 815, -878.000000, 18, 17.713886, 22138.0, 37899.16, 15761.16, 1464.000000, 0.000000
100, 1347, -1352.000000, 19, 19.960953, 25902.0, 41664.76, 15762.76, 1417.600000, 0.000000
