numvar, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, -20.000000, 2, 489.618925, 101.5, 15881.46, 15779.96, 502.248000, 23.854000
numvar, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, -26.000000, 2, 247.980467, 103.92, 15884.68, 15780.76, 399.877001, 19.737001
16, 0.000000, 3, 662.920238, 107.48, 15887.84, 15780.36, 515.362000, 62.085999
25, 134.000000, 4, 787.972760, 155.46, 15936.22, 15780.76, 705.117000, 308.987001
36, 0.000000, 6, 1234.941005, 120.22, 15900.18, 15779.96, 1152.592000, 5099.968999
49, 160.000000, 9, 1396.220844, 101.72, 15887.28, 15785.56, 1848.800001, 23769.126999
64, 1634.000000, 13, 1456.832215, 221.58, 16006.34, 15784.76, 2880.687000, 225524.142001
81, 5258.000000, 17, 1701.366371, 203.84, 15982.6, 15778.76, 4367.011001, 2452159.323000
100, 11084.000000, 20, 1909.385223, 244.54, 16025.3, 15780.76, 10044.418001, 29485776.926998
