numvar, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, -874.000000, 2, 2549.349535, 105.56, 15865.52, 15759.96, 437.627000, 871.256000
numvar, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, -6814.000000, 3, 1886.557738, 105.98, 15887.94, 15781.96, 435.213000, 1.000000
16, -21314.000000, 3, 5640.656377, 119.4, 15900.56, 15781.16, 575.344000, 1.000000
25, -49442.000000, 5, 6038.236439, 184.9, 15966.46, 15781.56, 1213.695999, 1.000000
36, -113719.000000, 7, 4859.028839, 116.86, 15898.82, 15781.96, 2334.528001, 1.000000
49, -209292.000000, 10, 5761.775756, 214.68, 15997.84, 15783.16, 4066.641000, 1.000000
64, -366112.000000, 11, 8020.753000, 200.16, 15982.92, 15782.76, 6859.573001, 1.000000
81, -594202.000000, 15, 8731.064317, 194.52, 15978.48, 15783.96, 10954.296000, 1.000000
100, -897482.000000, 28, 12136.844024, 232.94, 16019.3, 15786.36, 16480.732002, 1.000000
numvar, minenergy, maxchainlength, chainstrength, qpusamplingtime, qpuaccesstime, qpuprogrammingtime, preparetime, classicaltime
9, 199.000000, 3, 2644.166389, 110.48, 15891.64, 15781.16, 431.815999, 859.505000
16, 289.000000, 3, 3361.670383, 119.44, 15901.0, 15781.56, 709.202999, 216919.460001
25, 879.000000, 5, 4349.560622, 85.1, 15866.26, 15781.16, 1203.677000, 254015415.706999
